#,Título,Tipo,Progreso,URL
1,"Isekai Nonbiri Nouka",MANGA,"68.00 / 290.00",https://zonatmo.nakamasweb.com/library/manga/32463/isekainonbirinouka
2,"Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!",MANGA,"- /91.00",https://zonatmo.nakamasweb.com/library/manga/295/choujin-koukousei-tachi-wa-isekai-demo-yoyuu-de-ikinuku-you-desu
3,"One Punch-Man",MANGA,"- /285.00",https://zonatmo.nakamasweb.com/library/manga/2985/onepunchman
4,"Tales of Demons and Gods",MANHUA,"476.50 / 511.00",https://zonatmo.nakamasweb.com/library/manhua/12956/tales-of-demons-and-gods
5,"Chiyu Mahou no Machigatta Tsukaikata - Senjou o Kakeru Kaifuku Youin ",MANGA,"82.00 / 84.00",https://zonatmo.nakamasweb.com/library/manga/29478/chiyu-mahou-no-machigatta-tsukaikata-senjou-wo-kakeru-kaifuku-youin
6,"Hachi-nan tte Sore wa Nai deshou!",MANGA,"43.00 / 108.00",https://zonatmo.nakamasweb.com/library/manga/14643/hachinan-tte-sore-wa-nai-deshou
7,"To aru Ossan no VRMMO Katsudouki",MANGA,"- /112.00",https://zonatmo.nakamasweb.com/library/manga/8295/to-aru-ossan-no-vrmmo-katsudouki
8,"Star Martial God Technique",MANHUA,"447.00 / 836.00",https://zonatmo.nakamasweb.com/library/manhua/20724/star-martial-god-technique
9,"Yuan Zun",MANHUA,"508.00 / 985.00",https://zonatmo.nakamasweb.com/library/manhua/35766/yuan-zun
10,"S-Rank Monster no Behemoth Dakedo, Neko to Machigawarete Erufu Musume no Kishi (Pet) Toshite Kurashitemasu",MANGA,"- /63.00",https://zonatmo.nakamasweb.com/library/manga/39901/s-rank-monster-no-behemoth-dakedo-neko-to-machigawarete-erufu-musume-no-kishi-pet-toshite-kurashitemasu
11,"Goblin Slayer",MANGA,"- /107.00",https://zonatmo.nakamasweb.com/library/manga/16354/goblinslayer
12,"Isekai Meikyuu de Harem wo",MANGA,"12.20 / 28.70",https://zonatmo.nakamasweb.com/library/manga/28172/isekaimeikyuudeharemwo
13,"Genjitsushugi Yuusha no Oukoku Saikenki",MANGA,"49.00 / 60.00",https://zonatmo.nakamasweb.com/library/manga/28684/genjitsushugiyuushanooukokusaikenki
14,"Tsuki ga Michibiku Isekai Douchuu",MANGA,"104.00 / 105.00",https://zonatmo.nakamasweb.com/library/manga/12942/tsukigamichibikuisekaidouchuu
15,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekake-chuu",MANGA,"- /67.10",https://zonatmo.nakamasweb.com/library/manga/24129/gaikotsukishisamatadaimaisekaieodekakechuu
