#,Título,Tipo,Progreso,URL
1,"El restaurante del mago",MANHWA,"12.00 / 79.00",https://zonatmo.nakamasweb.com/library/manhwa/80802/thearchmagesrestaurant
2,"Shangri-La Frontier: Kusoge Hunter, Kami ge ni Idoman to su",MANGA,"176.00 / 258.00",https://zonatmo.nakamasweb.com/library/manga/53554/shangri-la-frontier-kusoge-hunter-kamige-ni-idoman-to-su
3," Salvador «Mesías» ~El antiguo héroe que salvó otro mundo no tiene rival en el mundo real lleno de monstruos~",MANGA,"23.00 / 60.00",https://zonatmo.nakamasweb.com/library/manga/72463/salvador-mesias-el-antiguo-heroe-que-salvo-otro-mundo-no-tiene-rival-en-el-mundo-real-lleno-de-monstruos
4,"Hazure Waku no Joutai Ijou Skill de Saikyou ni Natta Ore ga Subete wo Juurin Suru made",MANGA,"29.50 / 66.00",https://zonatmo.nakamasweb.com/library/manga/45316/hazure-waku-no-joutai-ijou-skill-de-saikyou-ni-natta-ore-ga-subete-wo-juurin-suru-made
5,"Jimina Ken Sei wa Sore Demo Saikyoudesu",MANGA,"77.00 / 83.00",https://zonatmo.nakamasweb.com/library/manga/40178/jimina-ken-sei-wa-sore-demo-saikyoudesu
6,"Versus",MANGA,"15.00 / 32.00",https://zonatmo.nakamasweb.com/library/manga/73807/versus
7,"Una princesa que trabaja duro por su favorito",MANHWA,"71.00 / 96.00",https://zonatmo.nakamasweb.com/library/manhwa/84425/theincognitoprincess
8,"El renacimiento del archimago del grupo del héroe",MANHWA,"30.00 / 118.00",https://zonatmo.nakamasweb.com/library/manhwa/83974/reincarnationoftheheropartysgrandmage
9,"Soy un sanador en un mundo donde la belleza y la fealdad están invertidas",MANGA,"7.00 / 16.00",https://zonatmo.nakamasweb.com/library/manga/79372/bishuugyakutensekaidechiryoushiyattemasu
10,"Llevando a casa una medio súcubo",MANGA,"- / 347.00",https://zonatmo.nakamasweb.com/library/manga/67684/llevandoacasaunamediosucubo
11,"No hay lugar para las falsificaciones",MANHWA,"52.00 / 101.00",https://zonatmo.nakamasweb.com/library/manhwa/75136/philomellafalsa
12,"Akuyaku Reijou Level 99: Watashi wa Ura Boss desu ga Maou de wa Arimasen",MANGA,"23.00 / 27.00",https://zonatmo.nakamasweb.com/library/manga/48236/akuyakureijoulevel99watashiwaurabossdesugamaoudewaarimasen
13,"Yuusha to Yobareta Nochi ni",MANGA,"14.00 / 58.00",https://zonatmo.nakamasweb.com/library/manga/78901/yuusha-to-yobareta-nochi-ni-soshite-musou-otoko-wa-kazoku-wo-tsukuru
14,"Quiero Verte Avergonzada",MANGA,"59.50 / 80.20",https://zonatmo.nakamasweb.com/library/manga/57753/hajiraukimigamitainda
15,"La Villana Condenada Regresa en el Tiempo para convertirse en la Villana Perfecta",MANGA,"14.00 / 25.00",https://zonatmo.nakamasweb.com/library/manga/70526/lavillanacondenadaregresaeneltiempoparaconvertirseenlavillanaperfecta
16,"Isekai Craft Gurashi: Jiyu Kimama na Seisan Shoku no Honobono Slow Life",MANGA,"- / 36.30",https://zonatmo.nakamasweb.com/library/manga/68554/isekai-craft-gurashi-jiyu-kimama-na-seisan-shoku-no-honobono-slow-life
17,"Aitsu no Kanojo",MANGA,"10.00 / 73.50",https://zonatmo.nakamasweb.com/library/manga/72632/aitsunokanojo
18," Ore wa Subete wo “Parry” Suru",MANGA,"20.00 / 25.20",https://zonatmo.nakamasweb.com/library/manga/54281/ore-wa-subete-wo-parry-suru
19,"Hime kishi-sama no himo",MANGA,"5.00 / 17.20",https://zonatmo.nakamasweb.com/library/manga/72211/himekishisamanohimo
20,"¡Por Favor, No Entres En La Papelería De La Villana De Esta Historia!",MANHWA,"77.00 / 121.00",https://zonatmo.nakamasweb.com/library/manhwa/68015/porfavornovengasalapapeleriadelavillana
21,"La dama bebé ",MANHWA,"16.00 / 220.00",https://zonatmo.nakamasweb.com/library/manhwa/123/ladybabymanhwa
22,"Solo leveling: Ragnarok",MANHWA,"17.00 / 68.50",https://zonatmo.nakamasweb.com/library/manhwa/84948/sololevelingragnarok
