#,Título,Tipo,Progreso,URL
1,"Parallel Paradise",MANGA,"- / 322.00",https://zonatmo.nakamasweb.com/library/manga/24108/parallelparadise
2,"Adamasu no Majotachi",MANGA,"- /48.00",https://zonatmo.nakamasweb.com/library/manga/40404/adamasu-no-majotachi
3,"Perfect Half",MANHWA,"96.00 / 191.00",https://zonatmo.nakamasweb.com/library/manhwa/17687/perfect-half
4,"Monster Musume no Iru Nichijou",MANGA,"- /91.00",https://zonatmo.nakamasweb.com/library/manga/8315/monster-musume-no-iru-nichijou
5,"Yancha Gal no Anjou-san",MANGA,"- /208.00",https://zonatmo.nakamasweb.com/library/manga/38946/yanchagalnoanjousan
6,"Devilchi",MANGA,"- / 128.00",https://zonatmo.nakamasweb.com/library/manga/24373/devilchi
7,"Bijin Onna Joushi Takizawa-san",MANGA,"- /172.00",https://zonatmo.nakamasweb.com/library/manga/20522/Bijin-Onna-Joushi-Takizawasan
8,"Yokoshima na Eguchi-kun",MANGA,"- /26.00",https://zonatmo.nakamasweb.com/library/manga/39492/yokoshima-na-eguchi-kun
9,"Trinity Seven: 7-Nin no Mahoutsukai",MANGA,"- /164.00",https://zonatmo.nakamasweb.com/library/manga/8632/trinityseven7ninnomashotsukai
10,"Magika no Kenshi to Vasreus",MANGA,"- / 83.00",https://zonatmo.nakamasweb.com/library/manga/8396/magika-no-kenshi-to-vasreus
11,"Sono Bisque Doll wa Koi wo Suru",MANGA,"72.00 / 115.50",https://zonatmo.nakamasweb.com/library/manga/38647/sonobisquedollwakoiwosuru
12,"Nande koko ni sensei ga!?",MANGA,"36.00 / 120.00",https://zonatmo.nakamasweb.com/library/manga/20858/nande-koko-ni-sensei-ga
13,"To LOVE-Ru",MANGA,"- /162.50",https://zonatmo.nakamasweb.com/library/manga/9306/toloveru
14,"Bokutachi wa Benkyou ga Dekinai",MANGA,"- /187.75",https://zonatmo.nakamasweb.com/library/manga/23037/bokutachi-wa-benkyou-ga-dekinai
15,"SPERMAN",MANHWA,"- /46.00",https://zonatmo.nakamasweb.com/library/manhwa/18965/sperman
16,"Sekkaku Cheat wo Moratte Isekai ni Teni shita n dakara, Suki na you ni Ikitemitai",MANGA,"- /39.00",https://zonatmo.nakamasweb.com/library/manga/36884/sekkaku-cheat-wo-moratte-isekai-ni-teni-shita-n-dakara-suki-na-you-ni-ikitemitai
17,"Devil Drop",MANHWA,"- / 101.00",https://zonatmo.nakamasweb.com/library/manhwa/39744/devil-drop
18,"Cheers!",MANGA,"- /109.00",https://zonatmo.nakamasweb.com/library/manga/12464/cheers
19,"Antología 4-koma Monster Musume No Iru Nichijou",MANGA,"- /46.00",https://zonatmo.nakamasweb.com/library/manga/16514/antologia-4-koma-monster-musume-no-iru-nichijou
20,"Amano Megumi wa Suki Darake!",MANGA,"- /280.00",https://zonatmo.nakamasweb.com/library/manga/15851/amano-megumi-wa-suki-darake
21,"Love Parameter",MANHWA,"- /126.00",https://zonatmo.nakamasweb.com/library/manhwa/14735/love-parameter
22,"Eguchi-kun wa Minogasanai",MANGA,"- /21.00",https://zonatmo.nakamasweb.com/library/manga/38341/eguchikunwaminogasanai
23,"Kiss x Sis",MANGA,"- /154.00",https://zonatmo.nakamasweb.com/library/manga/8115/kiss-x-sis
24,"B Gata H Kei",MANGA,"- /300.00",https://zonatmo.nakamasweb.com/library/manga/8865/bgatahkei
25,"Joshi Shougakusei Hajimemashita P!",MANGA,"- /63.00",https://zonatmo.nakamasweb.com/library/manga/8817/joshi-shougakusei-hajimemashita-p
26,"Lady Garden",MANHWA,"- /80.00",https://zonatmo.nakamasweb.com/library/manhwa/15336/lady-garden
27,"Elf-san wa Yaserarenai.",MANGA,"- /47.05",https://zonatmo.nakamasweb.com/library/manga/22161/elfsanwayaserarenai
28,"Isekai Onsen ni Tensei shita Ore no Kounou ga Tondemosugiru",MANGA,"- /22.00",https://zonatmo.nakamasweb.com/library/manga/28940/isekai-onsen-ni-tensei-shita-ore-no-kounou-ga-tondemosugiru
29,"Boku no Kanojo ga Majime Sugiru Shojo Bitch na Ken",MANGA,"- /87.60",https://zonatmo.nakamasweb.com/library/manga/15816/boku-no-kanojo-ga-majime-sugiru-shojo-bitch-na-ken
30,"Cherry Teacher Sakura Naoki",MANGA,"- /42.00",https://zonatmo.nakamasweb.com/library/manga/17351/cherry-teacher-sakura-naoki
31,"Ibitsu.",MANGA,"- /63.00",https://zonatmo.nakamasweb.com/library/manga/11567/ibitsu
32,"Ii Orc no Hi",MANGA,"- /8.00",https://zonatmo.nakamasweb.com/library/manga/13687/Ii-Orc-no-Hi
33,"To LOVE-Ru Darkness",MANGA,"- /77.99",https://zonatmo.nakamasweb.com/library/manga/6460/toloverudarkness
