#,Título,Tipo,Progreso,URL
1,"Tensei Kizoku no Isekai Boukenroku ~Jichou wo Shiranai Kamigami no Shito~",MANGA,"41.00 / 77.00",https://zonatmo.nakamasweb.com/library/manga/40200/tensei-kizoku-no-isekai-boukenroku-jichou-wo-shiranai-kamigami-no-shito
2,"ISEKAI KENKOKUKI",MANGA,"48.20 / 68.00",https://zonatmo.nakamasweb.com/library/manga/30958/isekaikenkokuki
3,"Kage no Jitsuryokusha ni Naritakute!",MANGA,"79.10 / 79.20",https://zonatmo.nakamasweb.com/library/manga/42185/kagenojitsuryokushaninaritakute
4,"Chiyu Mahou no Machigatta Tsukaikata - Senjou o Kakeru Kaifuku Youin ",MANGA,"82.00 / 84.00",https://zonatmo.nakamasweb.com/library/manga/29478/chiyu-mahou-no-machigatta-tsukaikata-senjou-wo-kakeru-kaifuku-youin
5,"Otomege Sekai wa Mob ni Kibishii Sekai desu",MANGA,"68.00 / 76.00",https://zonatmo.nakamasweb.com/library/manga/41187/otomegamesekaiwamobnikibishiisekaidesu
6,"Naze Boku no Sekai wo Daremo Oboeteinai no ka?",MANGA,"42.00 / 56.00",https://zonatmo.nakamasweb.com/library/manga/39195/naze-boku-no-sekai-wo-daremo-oboeteinai-no-ka
7,"Mushoku Tensei: Isekai Ittara Honki Dasu",MANGA,"115.00 / 117.00",https://zonatmo.nakamasweb.com/library/manga/8635/mushokutenseiisekaiittarahonkidasu
8,"¡El héroe de nivel máximo ha regresado!",MANHWA,"147.00 / 228.00",https://zonatmo.nakamasweb.com/library/manhwa/54527/themaxlevelherostrikesback
9,"Game of Familia: Kazoku Senki",MANGA,"21.00 / 72.00",https://zonatmo.nakamasweb.com/library/manga/40108/game-of-familia-kazoku-senki
10,"Tate no Yuusha no Nariagari",MANGA,"82.00 / 121.00",https://zonatmo.nakamasweb.com/library/manga/8385/tatenoyuushanonariagari
11,"Isekai Mahou wa Okureteru!",MANGA,"43.00 / 65.00",https://zonatmo.nakamasweb.com/library/manga/22191/isekaimahouwaokureteru
12,"Isekai Meikyuu de Harem wo",MANGA,"12.20 / 28.70",https://zonatmo.nakamasweb.com/library/manga/28172/isekaimeikyuudeharemwo
13,"Next Life",MANGA,"- /48.00",https://zonatmo.nakamasweb.com/library/manga/28074/next-life
14,"Genjitsushugi Yuusha no Oukoku Saikenki",MANGA,"49.00 / 60.00",https://zonatmo.nakamasweb.com/library/manga/28684/genjitsushugiyuushanooukokusaikenki
15,"Tsuki ga Michibiku Isekai Douchuu",MANGA,"104.00 / 105.00",https://zonatmo.nakamasweb.com/library/manga/12942/tsukigamichibikuisekaidouchuu
16,"Kuro no Shoukanshi",MANGA,"90.00 / 146.00",https://zonatmo.nakamasweb.com/library/manga/34619/kuro-no-shoukanshi
17,"Re:Monster",MANGA,"55.00 / 118.00",https://zonatmo.nakamasweb.com/library/manga/8239/remonster
18,"Konjiki no Word Master: Yuusha Yonin ni Makikomareta Unique Cheat ",MANGA,"98.00 / 124.00",https://zonatmo.nakamasweb.com/library/manga/10001/konjikinowordmasteryuushayoninnimakikomaretauniquecheat
19,"Kami-tachi ni Hirowareta Otoko",MANGA,"32.00 / 45.00",https://zonatmo.nakamasweb.com/library/manga/37300/kami-tachi-ni-hirowareta-otoko
20,"World Teacher: Isekaishiki Kyouiku Agent",MANGA,"22.00 / 41.00",https://zonatmo.nakamasweb.com/library/manga/21495/worldteacherisekaishikikyouikuagent
21,"Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?",MANGA,"40.00 / 76.00",https://zonatmo.nakamasweb.com/library/manga/39199/maounooregadoreielfwoyomenishitandagadoumederebaii
22,"El Nigromante que No Quiere una Cuarta Vez",MANGA,"33.00 / 61.00",https://zonatmo.nakamasweb.com/library/manga/39914/elnigromantequenoquiereunacuartavez
23,"Jui-san no Oshigoto in Isekai",MANGA,"- /64.00",https://zonatmo.nakamasweb.com/library/manga/26519/Juisan-no-Oshigoto-in-Ise
24,"Makikomarete Isekai Teni suru Yatsu wa, Taitei Cheat",MANGA,"- /59.20",https://zonatmo.nakamasweb.com/library/manga/30835/makikomarete-isekai-teni-suru-yatsu-wa-taitei-cheat
