#,Título,Tipo,Progreso,URL
1,"Tensei Kizoku no Isekai Boukenroku ~Jichou wo Shiranai Kamigami no Shito~",MANGA,"41.00 / 77.00",https://zonatmo.nakamasweb.com/library/manga/40200/tensei-kizoku-no-isekai-boukenroku-jichou-wo-shiranai-kamigami-no-shito
2,"Isekai Nonbiri Nouka",MANGA,"68.00 / 290.00",https://zonatmo.nakamasweb.com/library/manga/32463/isekainonbirinouka
3,"Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!",MANGA,"- /91.00",https://zonatmo.nakamasweb.com/library/manga/295/choujin-koukousei-tachi-wa-isekai-demo-yoyuu-de-ikinuku-you-desu
4,"ISEKAI KENKOKUKI",MANGA,"48.20 / 68.00",https://zonatmo.nakamasweb.com/library/manga/30958/isekaikenkokuki
5,"Risou no Himo Seikatsu",MANGA,"- /81.00",https://zonatmo.nakamasweb.com/library/manga/23465/risou-no-himo-seikatsu
6,"Chiyu Mahou no Machigatta Tsukaikata - Senjou o Kakeru Kaifuku Youin ",MANGA,"82.00 / 84.00",https://zonatmo.nakamasweb.com/library/manga/29478/chiyu-mahou-no-machigatta-tsukaikata-senjou-wo-kakeru-kaifuku-youin
7,"Hachi-nan tte Sore wa Nai deshou!",MANGA,"43.00 / 108.00",https://zonatmo.nakamasweb.com/library/manga/14643/hachinan-tte-sore-wa-nai-deshou
8,"Saihate no Paladin",MANGA,"- /72.00",https://zonatmo.nakamasweb.com/library/manga/38531/saihatenopaladin
9,"Tate no Yuusha no Nariagari",MANGA,"82.00 / 121.00",https://zonatmo.nakamasweb.com/library/manga/8385/tatenoyuushanonariagari
10,"Isekai Mahou wa Okureteru!",MANGA,"43.00 / 65.00",https://zonatmo.nakamasweb.com/library/manga/22191/isekaimahouwaokureteru
11,"Tensei Shitara Slime Datta Ken",MANGA,"124.00 / 139.00",https://zonatmo.nakamasweb.com/library/manga/12223/tenseishitaraslimedattaken
12,"Saikyou Yuusha wa Oharai Hako: Maou ni Nattara Zutto Ore no Musou Return",MANGA,"- /38.10",https://zonatmo.nakamasweb.com/library/manga/44314/saikyou-yuusha-wa-oharai-hako-maou-ni-nattara-zutto-ore-no-musou-return
13,"Jimina Ken Sei wa Sore Demo Saikyoudesu",MANGA,"77.00 / 83.00",https://zonatmo.nakamasweb.com/library/manga/40178/jimina-ken-sei-wa-sore-demo-saikyoudesu
14,"S-Rank Monster no Behemoth Dakedo, Neko to Machigawarete Erufu Musume no Kishi (Pet) Toshite Kurashitemasu",MANGA,"- /63.00",https://zonatmo.nakamasweb.com/library/manga/39901/s-rank-monster-no-behemoth-dakedo-neko-to-machigawarete-erufu-musume-no-kishi-pet-toshite-kurashitemasu
15,"Isekai Meikyuu de Harem wo",MANGA,"12.20 / 28.70",https://zonatmo.nakamasweb.com/library/manga/28172/isekaimeikyuudeharemwo
16,"Isekai de Skill wo Kaitai shitara Cheat na Yome ga Zoushoku Shimashita: Gainen Kousa no Structure",MANGA,"- /61.00",https://zonatmo.nakamasweb.com/library/manga/29852/isekai-de-skill-wo-kaitai-shitara-cheat-na-yome-ga-zoushoku-shimashita-gainen-kousa-no-structure
17,"Isekai Cheat Magician",MANGA,"24.00 / 28.00",https://zonatmo.nakamasweb.com/library/manga/29564/Isekai-Cheat-Magician
18,"Next Life",MANGA,"- /48.00",https://zonatmo.nakamasweb.com/library/manga/28074/next-life
19,"Genjitsushugi Yuusha no Oukoku Saikenki",MANGA,"49.00 / 60.00",https://zonatmo.nakamasweb.com/library/manga/28684/genjitsushugiyuushanooukokusaikenki
20,"Tsuki ga Michibiku Isekai Douchuu",MANGA,"104.00 / 105.00",https://zonatmo.nakamasweb.com/library/manga/12942/tsukigamichibikuisekaidouchuu
21,"LV999 No Murabito",MANGA,"- /70.00",https://zonatmo.nakamasweb.com/library/manga/27995/lv999-no-murabito
22,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekake-chuu",MANGA,"- /67.10",https://zonatmo.nakamasweb.com/library/manga/24129/gaikotsukishisamatadaimaisekaieodekakechuu
23,"Re:Monster",MANGA,"55.00 / 118.00",https://zonatmo.nakamasweb.com/library/manga/8239/remonster
24,"Konjiki no Word Master: Yuusha Yonin ni Makikomareta Unique Cheat ",MANGA,"98.00 / 124.00",https://zonatmo.nakamasweb.com/library/manga/10001/konjikinowordmasteryuushayoninnimakikomaretauniquecheat
25,"Kami-tachi ni Hirowareta Otoko",MANGA,"32.00 / 45.00",https://zonatmo.nakamasweb.com/library/manga/37300/kami-tachi-ni-hirowareta-otoko
26,"Isekai ni Kita Mitai dakedo Ikanisureba Yoi no Darou",MANGA,"- /17.00",https://zonatmo.nakamasweb.com/library/manga/33749/isekainikitamitaidakedoikanisurebayoinodarou
27,"Isekai Maou to Shoukan Shoujo no Dorei Majutsu",MANGA,"72.00 / 104.30",https://zonatmo.nakamasweb.com/library/manga/12658/isekai-maou-to-shoukan-shoujo-no-dorei-majutsu
28,"Isekai Yakkyoku",MANGA,"- /54.00",https://zonatmo.nakamasweb.com/library/manga/22290/isekai-yakkyoku
