#,Título,Tipo,Progreso,URL
1,"Aquel que Sube de Nivel más Rápido ",MANGA,"16.00 / 28.00",https://zonatmo.nakamasweb.com/library/manga/58624/sekaisaisokunolevelup
2,"SPY×FAMILY",MANGA,"47.00 / 130.00",https://zonatmo.nakamasweb.com/library/manga/3581/spyxfamily
3,"Netorare Manga no Kuzu Otoko ni Tensei shita Hazu ga Heroine ga Yottekuru Ken",MANGA,"21.20 / 22.20",https://zonatmo.nakamasweb.com/library/manga/76538/netorare-manga-no-kuzu-otoko-ni-tensei-shita-hazu-ga-heroine-ga-yottekuru-ken
4,"Cuidado con la Villana !",MANHWA,"62.00 / 133.00",https://zonatmo.nakamasweb.com/library/manhwa/49276/cuidadoconlavillana
5,"Dandadan",MANGA,"- / 228.00",https://zonatmo.nakamasweb.com/library/manga/5020/dandadan
6," Shin no Jitsuryoku wa Girigiri Made Kakushite Iyou to Omou",MANGA,"20.00 / 50.00",https://zonatmo.nakamasweb.com/library/manga/54659/shin-no-jitsuryoku-wa-girigiri-made-kakushite-iyou-to-omou
7,"Umareta Chokugo ni Suterareta kedo, Zensei ga Taikensha datta node Yoyuu de Ikitemasu",MANGA,"3.00 / 74.00",https://zonatmo.nakamasweb.com/library/manga/69941/umaretachokugonisuteraretakedozenseigataikenshadattanodeyoyuudeikitemasu
8,"El mayordomo más fuerte del mundo",MANGA,"11.00 / 31.20",https://zonatmo.nakamasweb.com/library/manga/70503/sekai-saikyou-no-shitsuji-black-shokuba-o-tsuihou-sareta-ore-koori-no-reijo-ni-hirowareru-seikatsu-mahou-o-kushi-shite-musou-shiteitara-shiawase-na-kurashi-ga-hajimarimashita
9,"El Francotirador de Nivel Arcano",MANHWA,"73.00 / 175.00",https://zonatmo.nakamasweb.com/library/manhwa/292/arcane-sniper
10,"Mushoku Tensei: Isekai Ittara Honki Dasu - Shitsui no Majutsushi-hen",MANGA,"16.00 / 20.00",https://zonatmo.nakamasweb.com/library/manga/65568/mushokutenseiisekaiittarahonkidasushitsuinomajutsushihen
11,"El privilegio de una Transmigrante",MANHWA,"50.00 / 104.00",https://zonatmo.nakamasweb.com/library/manhwa/289/el-privilegio-de-una-transmigrante
12,"Dijeron ""No necesitamos incompetentes"" así que me aparte de ellas ~Criado por las cuatro reinas Celestiales me convertí en un aventurero sin igual~",MANGA,"- /26.00",https://zonatmo.nakamasweb.com/library/manga/70937/munou-wa-iranai-to-iwa-retakara-zetsuen-shite-yatta-saikyou-no-shitennou-ni-sodate-rareta-ore-wa-bouken-sha-to-nari-musou-suru
13,"Saikyou Degarashi Ouji no An’yaku Teii Arasoi Munou wo Enjiru SS Rank Ouji wa Koui Keishou-sen wo Kage kara Shihai Suru",MANGA,"39.00 / 50.00",https://zonatmo.nakamasweb.com/library/manga/47648/saikyou-degarashi-ouji-no-anyaku-teii-arasoi
14,"EL ÚNICO FINAL DE LA VILLANA ES LA MUERTE",MANHWA,"131.00 / 191.00",https://zonatmo.nakamasweb.com/library/manhwa/122/lamuerteeselunicofinalparalavillana
