#,Título,Tipo,Progreso,URL
1,"World's End Harem: Fantasia",MANGA,"- /91.00",https://zonatmo.nakamasweb.com/library/manga/38556/shuumatsu-no-harem-fantasia
2,"Kimi no koto ga Dai Dai Dai Dai Daisuki na 100-nin no Kanojo",MANGA,"- /245.00",https://zonatmo.nakamasweb.com/library/manga/325/kimi-no-koto-ga-dai-dai-dai-dai-daisuki-na-100-nin-no-kanojo
3,"Yankee JK Kuzuhana-chan",MANGA,"- /268.00",https://zonatmo.nakamasweb.com/library/manga/48776/yankee-jk-kuzuhana-chan
4,"Demon Spirit Seed Manual",MANHUA,"- /266.00",https://zonatmo.nakamasweb.com/library/manhua/15138/demon-spirit-seed-manual
5,"Master In My Dreams",MANHWA,"- /53.00",https://zonatmo.nakamasweb.com/library/manhwa/13188/master-in-my-dreams
6,"Adamasu no Majotachi",MANGA,"- /48.00",https://zonatmo.nakamasweb.com/library/manga/40404/adamasu-no-majotachi
7,"Jimiko wa Igai ni Ero Katta ",MANGA,"74.00 / 133.00",https://zonatmo.nakamasweb.com/library/manga/49040/jimikowaigainierokatta
8,"Perfect Half",MANHWA,"96.00 / 191.00",https://zonatmo.nakamasweb.com/library/manhwa/17687/perfect-half
9,"Yancha Gal no Anjou-san",MANGA,"- /208.00",https://zonatmo.nakamasweb.com/library/manga/38946/yanchagalnoanjousan
10,"DO IT ONE MORE TIME",MANHWA,"- /86.00",https://zonatmo.nakamasweb.com/library/manhwa/17631/do-it-one-more-time
11,"Devilchi",MANGA,"- / 128.00",https://zonatmo.nakamasweb.com/library/manga/24373/devilchi
12,"Burakku Gakkou ni Tsutomete Shimatta Sensei",MANGA,"- /47.00",https://zonatmo.nakamasweb.com/library/manga/2103/blackgakkounitsutometeshimattasensei
13,"Ingoku Danchi",MANGA,"- /51.00",https://zonatmo.nakamasweb.com/library/manga/64590/ingoku-danchi
14,"Maou no Hajimekata",MANGA,"- / 47.00",https://zonatmo.nakamasweb.com/library/manga/11822/maou-no-hajimekata
15,"Bijin Onna Joushi Takizawa-san",MANGA,"- /172.00",https://zonatmo.nakamasweb.com/library/manga/20522/Bijin-Onna-Joushi-Takizawasan
16,"Hajimete no Gal",MANGA,"6.00 / 204.00",https://zonatmo.nakamasweb.com/library/manga/16660/hajimete-no-gal
