#,Título,Tipo,Progreso,URL
1,"Mikata ga Yowa Sugite Hojo Mahou ni Toushite Ita Kyuutei Mahoushi, Tsuihou Sarete Saikyou wo Mezasu",MANGA,"54.00 / 72.00",https://zonatmo.nakamasweb.com/library/manga/62308/mikatagayowasugitehojomahounitesshiteitakyuuteimahoushitsuihousaretesaikyouwomezasu
2,"Una chica linda me miro en mi nueva escuela, pero resulto ser mi amiga de la infancia que solía pensar que era un chico",MANGA,"8.00 / 28.00",https://zonatmo.nakamasweb.com/library/manga/62865/tenkou-saki-no-seiso-karen-na-bishoujo-ga-mukashi-danshi-to-omotte-issho-ni-asonda-osananajimi-datta-ken
3,"ISEKAI KENKOKUKI",MANGA,"48.20 / 68.00",https://zonatmo.nakamasweb.com/library/manga/30958/isekaikenkokuki
4,"Invoqué al diablo para hacer realidad mi deseo, pero era muy hermosa, así que me casé con ella ~ Mi nueva esposa es el diablo ~",MANGA,"18.00 / 45.00",https://zonatmo.nakamasweb.com/library/manga/51104/negai-o-kanaete-moraou-to-akuma-o-shokan-shitakedo-kawaikattanode-kekkonshimashita-akuma-no-nidzuma
5,"Saikyou no Shien-shoku ""Wajutsushi"" Dearu Ore wa Sekai Saikyou Clan wo Shitagaeru",MANGA,"45.00 / 62.00",https://zonatmo.nakamasweb.com/library/manga/50889/saikyou-no-shien-shoku-wajutsushi-dearu-ore-wa-sekai-saikyou-kuran-o-shitagaeru
6,"Otomege Sekai wa Mob ni Kibishii Sekai desu",MANGA,"68.00 / 76.00",https://zonatmo.nakamasweb.com/library/manga/41187/otomegamesekaiwamobnikibishiisekaidesu
7," Itsudemo Jitaku Ni Kaerareru Ore Wa, Isekai De Gyoushounin O Hajimemashita",MANGA,"33.00 / 62.00",https://zonatmo.nakamasweb.com/library/manga/52155/itsudemojitakunikaerareruorewaisekaidegyoushouninohajimemashita
8,"Isekai de Cheat Skill wo te ni Shita ore wa, Genjitsu Sekai wo mo Musou Suru ~Level Up wa Jinsei wo Kaeta~",MANGA,"26.00 / 33.20",https://zonatmo.nakamasweb.com/library/manga/47712/isekaidecheatskillwotenishitaorewagenjitsusekaiwomomusousurulevelupwajinseiwokaeta
9,"Tensei Shitara dai Nana Ouji dattanode, Kimamani Majutsu o Kiwamemasu",MANGA,"165.00 / 202.00",https://zonatmo.nakamasweb.com/library/manga/3909/tensei-shitara-dai-nana-ouji-dattanode-kimamani-majutsu-o-kiwamemasu
10,"Kujibiki Tokushou Musou Harem-Ken",MANGA,"6.20 / 46.00",https://zonatmo.nakamasweb.com/library/manga/42566/kujibiki-tokushou-musou-harem-ken
11,"Meccha Shoukan Sareta Ken ",MANGA,"15.00 / 48.00",https://zonatmo.nakamasweb.com/library/manga/53844/mecchashoukansaretakenthecomic
12,"Jitsu wa Ore, Saikyou deshita?",MANGA,"47.10 / 121.00",https://zonatmo.nakamasweb.com/library/manga/43655/jitsu-wa-ore-saikyou-deshita
13,"El tutorial es demasiado difícil",MANHWA,"143.00 / 201.00",https://zonatmo.nakamasweb.com/library/manhwa/56976/el-tutorial-es-demasiado
14,"The Great Mage Returns After 4000 Years",MANHWA,"88.00 / 206.00",https://zonatmo.nakamasweb.com/library/manhwa/49708/elretornodelgranmagodespuesde4000anos
15,"Ore dake Haireru Kakushi Dungeon: Kossori Kitaete Sekai Saikyou",MANGA,"- / 63.00",https://zonatmo.nakamasweb.com/library/manga/40519/ore-dake-haireru-kakushi-dungeon-kossori-kitaete-sekai-saikyou
16," Nito No Taidana Isekai Shoukougun: Sai Jakushoku ""Healer"" Nano Ni Saikyou Wa Desu Ka?",MANGA,"22.20 / 40.10",https://zonatmo.nakamasweb.com/library/manga/46720/nito-no-taidana-isekai-shoukougun-sai-jakushoku-healer-nano-ni-saikyou-wa-desu-ka
17,"Isekai Meikyuu de Harem wo",MANGA,"12.20 / 28.70",https://zonatmo.nakamasweb.com/library/manga/28172/isekaimeikyuudeharemwo
18,"Isekai de Te ni Ireta",MANGA,"10.00 / 27.00",https://zonatmo.nakamasweb.com/library/manga/52381/isekai-de-te-ni-ireta-seisan-skill-wa-saikyou-datta-you-desu
19,"El hijo menor del maestro de la espada",MANHWA,"165.00 / 183.00",https://zonatmo.nakamasweb.com/library/manhwa/68917/theswordmastersson
20,"Mushoku Tensei - Roxy datte Honki desu",MANGA,"1.00 / 62.00",https://zonatmo.nakamasweb.com/library/manga/38880/mushokutenseiroxydattehonkidesu
21,"Kami-tachi ni Hirowareta Otoko",MANGA,"32.00 / 45.00",https://zonatmo.nakamasweb.com/library/manga/37300/kami-tachi-ni-hirowareta-otoko
22,"Doukutsuou kara Hajimeru Rakuen Life ~Bannou no Saikutsu Skill de Saikyou Ni",MANGA,"15.00 / 29.00",https://zonatmo.nakamasweb.com/library/manga/50603/volviendose-la-persona-mas-fuerte-con-una-habilidad-de-minar
23,"Isekai Maou to Shoukan Shoujo no Dorei Majutsu",MANGA,"72.00 / 104.30",https://zonatmo.nakamasweb.com/library/manga/12658/isekai-maou-to-shoukan-shoujo-no-dorei-majutsu
24,"El Irregular de la Real Academia Mágica",MANGA,"58.00 / 94.00",https://zonatmo.nakamasweb.com/library/manga/56930/ouritsu-mahou-gakuen-no-saikasei
25,"Tsuihou Sareta Onimotsu Tamer, Sekai Yuiitsu no Necromancer ni Kakusei Suru",MANGA,"12.10 / 35.00",https://zonatmo.nakamasweb.com/library/manga/58362/tsuihou-sareta-onimotsu-tamer-sekai-yuiitsu-no-necromancer-ni-kakusei-suru
26,"Henkyou Gurashi no Maou, Tensei shite Saikyou no Majutsushi ni naru",MANGA,"15.00 / 42.00",https://zonatmo.nakamasweb.com/library/manga/52914/henkyou-gurashi-no-maou-tensei-shite-saikyou-no-majutsushi-ni-naru
27,"Maseki Gurume: Comer Poder Mágico Me Hizo Más Fuerte",MANGA,"23.00 / 60.00",https://zonatmo.nakamasweb.com/library/manga/44745/maseki-gurume-mamono-no-chikara-o-tabeta-ore-wa-saikyou
28,"Katainaka no Ossan, Kensei ni Naru～tada no inaka no kenjutsu shihan datta no ni, taisei shita deshi-tachi ga ore wo hottekurenai ken～",MANGA,"27.10 / 31.00",https://zonatmo.nakamasweb.com/library/manga/62932/katainakanoossankenseininarutadanoinakanokenjutsushihandattanonitaiseishitadeshitachigaorewohanattekurenaiken
29,"Hazure Skill “Gacha” de Tsuihō sa Reta Ore wa, Wagamama Osananajimi o Zetsuen Shi Kakusei Suru",MANGA,"7.10 / 22.10",https://zonatmo.nakamasweb.com/library/manga/57387/hazureskillgachadetsuihousaretaorewawagamamaosananajimiwozetsuenshikakuseisuru
30,"Sono Monban, Saikyou Nitsuki: Tsuihou Sareta Bougyo Ryoku 9999 no Senshi, Ou Miyako no Monban Toshite Musou Suru",MANGA,"12.20 / 33.20",https://zonatmo.nakamasweb.com/library/manga/55480/sono-monban-saikyou-nitsuki-tsuihou-sareta-bougyo-ryoku-9999-no-senshi-ou-miyako-no-monban-toshite-musou-suru
31,"The Reincarnated Inferior Magic Swordsman",MANGA,"51.00 / 84.00",https://zonatmo.nakamasweb.com/library/manga/51226/rettou-hito-no-maken-tsukai-sukiruboudo-wo-kushi-shite-saikyou-ni-itaru
32,"Yuusha Party ni Kawaii Ko ga Ita no de, Kokuhaku Shite Mita",MANGA,"24.00 / 44.00",https://zonatmo.nakamasweb.com/library/manga/57866/yuusha-party-ni-kawaii-ko-ga-ita-no-de-kokuhaku-shite-mita
33,"Ansatsu Skill de Isekai Saikyou: Renkinjutsu to Ansatsujutsu wo Kiwameta Ore wa, Sekai wo Kage kara Shihai suru",MANGA,"12.10 / 20.00",https://zonatmo.nakamasweb.com/library/manga/56209/ansatsuskilldeisekaisaikyourenkinjutsutoansatsujutsuwokiwametaorewasekaiwokagekarashihaisuru
34,"Tengo novias gemelas",MANHUA,"129.00 / 293.00",https://zonatmo.nakamasweb.com/library/manhua/51334/i-have-twin-girlfriends
35,"¿¡Te gusto yo, no mi hija!?",MANGA,"104.00 / 170.00",https://zonatmo.nakamasweb.com/library/manga/53301/musume-janakute-mama-ga-suki-nano
36,"""Kukuku....... Él es el Más Débil de Los Cuatro Monarcas Celestiales."" Me Despidieron de mi Trabajo, Pero de Alguna Manera me Convertí en el Maestro de una Heroína y una Santa.",MANGA,"18.10 / 24.20",https://zonatmo.nakamasweb.com/library/manga/57861/ku-ku-ku-yatsu-ha-shitenno-no-naka-demo-saijaku-to-kaiko-sareta-ore-naze-ka-yusha-to-seijo-no-shisho-ni-naru
37,"Watari-kun no xx ga Houkai Sunzen",MANGA,"61.00 / 89.00",https://zonatmo.nakamasweb.com/library/manga/9278/watarikunnoxxgahoukaisunzen
38,"Viviendo junto con una chica llorona y divorciada",MANGA,"28.00 / 55.73",https://zonatmo.nakamasweb.com/library/manga/63053/batsuichidenakimushinaotonarisan
39,"Un adolescente que ha reencarnado dos veces vive pacíficamente como un aventurero de rango S",MANGA,"27.10 / 41.30",https://zonatmo.nakamasweb.com/library/manga/53927/nido-tensei-shita-shounen-wa-s-rank-boukensha-toshite-heion-ni-sugosu-zense-ga-kenja-de-eiyuu-datta-boku-wa-raisede-wa-jimini-ikiru
40,"Ore wa Seikan Kokka no Akutoku Ryoushu!",MANGA,"35.10 / 39.10",https://zonatmo.nakamasweb.com/library/manga/60225/orewaseikankokkanoakutokuryoushu
41,"Esclavo de la orden de los caballeros",MANGA,"14.00 / 40.00",https://zonatmo.nakamasweb.com/library/manga/56412/black-na-kishidan-no-dorei-ga-white-na-boukensha-guild-ni-hikinukarete-s-rank-ni-narimashita
42,"Ore dake Level ga Agaru Sekai de Akutoku Ryoushu ni Natteita",MANGA,"13.00 / 31.00",https://zonatmo.nakamasweb.com/library/manga/64563/ore-dake-level-ga-agaru-sekai-de-akutoku-ryoushu-ni-natteita
43,"Quería confesarme a la recepcionista, y cuando fui al gremio, me convertí en un héroe",MANGA,"17.00 / 30.00",https://zonatmo.nakamasweb.com/library/manga/65275/uketsukejou-ni-kokuhaku-shitakute-guild-ni-kayoi-tsumetara-eiyuu-ni-natteta
44,"Isekai Kaeri No Daikenja-sama Wa Sore Demo Kossori Kurashite Iru Tsumori Desu",MANGA,"7.00 / 43.00",https://zonatmo.nakamasweb.com/library/manga/62487/isekaikaerinodaikenjasamawasoredemokossorikurashiteirutsumoridesu
45,"Isekai Shoukan wa Nidome Desu",MANGA,"27.30 / 62.00",https://zonatmo.nakamasweb.com/library/manga/39964/isekaishoukanwanidomedesu
46,"Trash of the Count's Family",MANHWA,"156.00 / 164.00",https://zonatmo.nakamasweb.com/library/manhwa/53005/labasuradelafamiliadelconde
47,"Sono Bisque Doll wa Koi wo Suru",MANGA,"72.00 / 115.50",https://zonatmo.nakamasweb.com/library/manga/38647/sonobisquedollwakoiwosuru
48,"Reborn 80.000 Years",MANHUA,"228.00 / 387.00",https://zonatmo.nakamasweb.com/library/manhua/47011/reborn-80000-years
49,"Oi, Hazure Skill da to Omowareteita “Cheat Code Sousa” ga Bakemono Sugiru n da ga.",MANGA,"2.30 / 6.30",https://zonatmo.nakamasweb.com/library/manga/60776/oi-hazure-skill-da-to-omowareteita-cheat-code-sousa-ga-bakemono-sugiru-ndaga
50,"Tenkuu no Shiro o Moratta no de Isekai de Tanoshiku Asobitai",MANGA,"22.00 / 46.00",https://zonatmo.nakamasweb.com/library/manga/44709/tenkuunoshiroomorattanodeisekaidetanoshikuasobitai
51,"La constelación que regreso del infierno",MANHWA,"139.00 / 145.00",https://zonatmo.nakamasweb.com/library/manhwa/58829/thecelestialreturnedfromhell
52,"Reajuste de la mazmorra",MANHWA,"84.00 / 176.00",https://zonatmo.nakamasweb.com/library/manhwa/57/reajuste-de-la-mazmorra
53,"Release that witch",MANHUA,"115.00 / 695.00",https://zonatmo.nakamasweb.com/library/manhua/42786/releasethatwitch
54,"Isekai de Saikyou Maou no Kodomo-tachi Juunin no Mama ni nacchaimashita",MANGA,"14.00 / 40.00",https://zonatmo.nakamasweb.com/library/manga/43926/isekaidesaikyoumaounokodomotachijuuninnomamaninacchaimashita
55,"Heroe Suicida de Clase SSS",MANHWA,"123.00 / 126.00",https://zonatmo.nakamasweb.com/library/manhwa/307/cazador-suicida-de-clase-sss
56,"Registros de supervivencia del Rey de la Espada del Otro Mundo",MANHWA,"109.00 / 211.00",https://zonatmo.nakamasweb.com/library/manhwa/47589/otherworldly-sword-kings-survival-records
57,"Nivelación al máximo",MANHWA,"53.00 / 74.00",https://zonatmo.nakamasweb.com/library/manhwa/65022/levelingbeyondthemax
58,"Seoul Station Necromancer",MANHWA,"53.00 / 119.00",https://zonatmo.nakamasweb.com/library/manhwa/63821/nigromantedelaestaciondeseul
59,"El retorno del legendario caballero de la lanza",MANHWA,"103.00 / 134.00",https://zonatmo.nakamasweb.com/library/manhwa/63553/thelegendaryspearmanreturns
60,"Sekai de Tadahitori no Mamono Tsukai ~ Tenshoku Shitara Maou ni Machigawa Remashita",MANGA,"19.00 / 53.00",https://zonatmo.nakamasweb.com/library/manga/43844/sekai-de-tadahitori-no-mamono-tsukai-tenshoku-shitara-maou-ni-machigawa-remashita
61,"Shi ni Modori, Subete wo Sukuu Tame ni Saikyou He a Itaru",MANGA,"65.00 / 70.00",https://zonatmo.nakamasweb.com/library/manga/46266/shi-ni-modori-subete-wo-sukuu-tame-ni-saikyou-he-to-itaru
62,"Skeleton Soldier",MANHWA,"174.00 / 238.00",https://zonatmo.nakamasweb.com/library/manhwa/39978/skeleton-soldier
63,"Level 1 no Saikyou kenja ~Noroi de sai kakyuu mahou shika tsukaenaikedo, kami no kanchigai de mugen no maryoku o te ni ire saikyou ni~",MANGA,"18.00 / 33.00",https://zonatmo.nakamasweb.com/library/manga/47430/level1nosaikyoukenjanoroidesaikakyuumahoushikatsukaenaikedokaminokanchigaidemugennomaryokuoteniiresaikyouni
64,"Saint Of Black Kite~ The Banished Healer Masters Dark Magic With Abundant Magical Power",MANGA,"12.00 / 15.00",https://zonatmo.nakamasweb.com/library/manga/63160/kuro-tonbi-no-seija-tsuiho-sa-reta-kaifuku-jutsu-shi-wa-ariamaru-maryoku-de-yami-maho-o-kiwameru
65,"Maken Tsukai no Moto Shounen Hei wa, Moto Teki Kanbu no Onee-san to Issho ni Ikitai ",MANGA,"12.00 / 39.00",https://zonatmo.nakamasweb.com/library/manga/57925/maken-tsukai-no-moto-shounen-hei-wa-moto-teki-kanbu-no-onee-san-to-issho-ni-ikitai
66,"Tonari no Seki ni Natta Bishoujo ga Horesaseyou to Karakatte Kuru ga Itsunomanika Kaeriuchi ni Shite Ita",MANGA,"- / 25.00",https://zonatmo.nakamasweb.com/library/manga/49499/tonarinosekininattabishoujogahoresaseyoutokarakattekurugaitsunomanikakaeriuchinishiteita
67,"Tsuihōsareta Ochikobore, Henkyō de Ikinuite S-Rank Taimashi ni Nariagaru ",MANGA,"9.00 / 14.00",https://zonatmo.nakamasweb.com/library/manga/58556/a-banished-failure-survives-in-the-borderland-and-becomes-an-s-rank-exorcist
68,"Shonen no Abyss",MANGA,"54.00 / 183.00",https://zonatmo.nakamasweb.com/library/manga/49890/shonennoabyss
