#,Título,Tipo,Progreso,URL
1,"El caballero pesado reencarnado exiliado no tiene rival en el conocimiento del juego",MANGA,"143.00 / 160.00",https://zonatmo.nakamasweb.com/library/manga/71315/tsuihou-sareta-tensei-juukishi-wa-game-chishiki-de-musou-suru
2,"Ichi el brujo",MANGA,"- / 74.00",https://zonatmo.nakamasweb.com/library/manga/90885/madannoichi
3,"El villano rubio de la novela de la protagonista quiere ser feliz",MANHUA,"40.00 / 61.00",https://zonatmo.nakamasweb.com/library/manhua/87831/elvillanorubiodelanoveladelaprotagonistaquiereserfeliz
4,"Llevare a esta familia a la grandeza",MANHWA,"47.00 / 62.00",https://zonatmo.nakamasweb.com/library/manhwa/88247/iwillraisethisfamily
5,"Asesino de nivel dios, soy la Sombra",MANHUA,"0.00 / 97.00",https://zonatmo.nakamasweb.com/library/manhua/89191/godlevelassassinimtheshadowmanhua
6,"La Reina del Espectáculo",MANHUA,"- / 135.00",https://zonatmo.nakamasweb.com/library/manhua/62108/lareinadelespectaculo
7,"Los Secretos de la Bruja Silenciosa.",MANGA,"22.00 / 30.00",https://zonatmo.nakamasweb.com/library/manga/85396/silentwitchchinmokunomajonokakushigoto
8,"Toru ni Taranai",MANGA,"5.00 / 35.00",https://zonatmo.nakamasweb.com/library/manga/87442/torunitaranai
9,"Noa-senpai wa Tomodachi",MANGA,"9.00 / 78.00",https://zonatmo.nakamasweb.com/library/manga/78594/noa-senpai-wa-tomodachi
10,"Una forma de protegerte, cariño",MANHWA,"89.00 / 162.00",https://zonatmo.nakamasweb.com/library/manhwa/58417/unaformadeprotegertecarino
11,"GATE: Jieitai Kano Chi nite, Kaku Tatakaeri",MANGA,"92.00 / 143.60",https://zonatmo.nakamasweb.com/library/manga/8781/gatejieitaikanochinitekakutatakaeri
12,"Centuria",MANGA,"1.00 / 84.00",https://zonatmo.nakamasweb.com/library/manga/83305/centuria
13,"DE TODAS FORMAS, ES ROFAN",MANHWA,"31.00 / 136.00",https://zonatmo.nakamasweb.com/library/manhwa/64844/de-todos-modos-es-rofan
14,"Enamora al Exorcista",MANGA,"1.00 / 108.00",https://zonatmo.nakamasweb.com/library/manga/68042/make-the-exorcist-fall-in-love
15,"Otaku ni Yasashii Gyaru wa Inai!?",MANGA,"- / 317.00",https://zonatmo.nakamasweb.com/library/manga/66472/otakuniyasashiigalwainai
16,"Demon X Angel - No Pueden Llevarse Bien",MANHUA,"- / 134.00",https://zonatmo.nakamasweb.com/library/manhua/55925/demon-x-angel-no-pueden-llevarse-bien
17,"Sentai Daishikkaku",MANGA,"95.00 / 207.00",https://zonatmo.nakamasweb.com/library/manga/57085/sentaidaishikkaku
18,"¡Vence al Emperador Dragón en esta ronda, Señorita!",MANGA,"13.00 / 39.00",https://zonatmo.nakamasweb.com/library/manga/52177/yarinaoshi-reijou-ha-ryuu-mikado-heika-wo-kouryakuchuu
19,"Gestión de las relaciones laborales",MANHWA,"5.00 / 30.00",https://zonatmo.nakamasweb.com/library/manhwa/87962/gestiondelasrelacioneslaborales
