#,Título,Tipo,Progreso,URL
1,"Air Gear ",MANGA,"- /358.00",https://zonatmo.nakamasweb.com/library/manga/8551/air-gear
2,"Soul Eater",MANGA,"- /113.00",https://zonatmo.nakamasweb.com/library/manga/9408/soul-eater
3,"Monster",MANGA,"- /162.00",https://zonatmo.nakamasweb.com/library/manga/10281/monster
4,"20th Century Boys",MANGA,"- /249.00",https://zonatmo.nakamasweb.com/library/manga/10049/20-seiki-shounen
5,"21st Century Boys",MANGA,"- /16.50",https://zonatmo.nakamasweb.com/library/manga/10190/21-seiki-shounen
6,"Gantz",MANGA,"- /383.00",https://zonatmo.nakamasweb.com/library/manga/8804/gantz
7,"Solanin",MANGA,"- /29.00",https://zonatmo.nakamasweb.com/library/manga/10465/solanin
8,"The Promised Neverland",MANGA,"- /185.00",https://zonatmo.nakamasweb.com/library/manga/2969/yakusokunoneverland
9,"The Breaker: New Waves",MANHWA,"- /203.50",https://zonatmo.nakamasweb.com/library/manhwa/8650/The-Breaker-New-Waves
10,"Full Metal Alchemist",MANGA,"- /108.06",https://zonatmo.nakamasweb.com/library/manga/10256/fullmetalalchemist
11,"Una voz Silenciosa",MANGA,"2.00 / 62.00",https://zonatmo.nakamasweb.com/library/manga/8076/koe-no-katachi
12,"Los dioses mienten",MANGA,"- /5.00",https://zonatmo.nakamasweb.com/library/manga/9433/kamisama-ga-uso-wo-tsuku
13,"Eden no Ori ",MANGA,"- /185.00",https://zonatmo.nakamasweb.com/library/manga/8971/eden-no-ori
14,"Shijou Saikyou no Deshi Kenichi",MANGA,"- /583.05",https://zonatmo.nakamasweb.com/library/manga/2950/shijou-saikyou-no-deshi-kenichi
15,"Katekyo Hitman Reborn!",MANGA,"5.00 / 409.00",https://zonatmo.nakamasweb.com/library/manga/2522/katekyo-hitman-reborn
16,"Innocent",MANGA,"- /99.00",https://zonatmo.nakamasweb.com/library/manga/9370/innocent
17,"Que Sera, Sera",MANHWA,"- /71.00",https://zonatmo.nakamasweb.com/library/manhwa/15508/Que-Sera-Sera
18,"Pulse",MANHWA,"- /68.00",https://zonatmo.nakamasweb.com/library/manhwa/15055/pulse
19,"EX - Shounen Hyouryuu",MANGA,"- /26.00",https://zonatmo.nakamasweb.com/library/manga/9724/EX--Shounen-Hyouryuu
20,"Pluto: Urasawa x Tezuka",MANGA,"- /65.00",https://zonatmo.nakamasweb.com/library/manga/12271/pluto
21,"Inuyashiki",MANGA,"- /85.00",https://zonatmo.nakamasweb.com/library/manga/9191/inuyashiki
22,"Kitsch",MANHWA,"- /72.00",https://zonatmo.nakamasweb.com/library/manhwa/16264/kitsch
23,"Mugen no Juunin",MANGA,"- /206.00",https://zonatmo.nakamasweb.com/library/manga/15303/mugen-no-juunin
24,"GREEN WORLDZ",MANGA,"- /112.00",https://zonatmo.nakamasweb.com/library/manga/8063/green-worldz
25,"Deadman Wonderland",MANGA,"- /58.00",https://zonatmo.nakamasweb.com/library/manga/8767/deadman-wonderland
26,"Battle Royale",MANGA,"- /119.00",https://zonatmo.nakamasweb.com/library/manga/11358/battle-royale
27,"Judge",MANGA,"- /32.00",https://zonatmo.nakamasweb.com/library/manga/7883/judge
28,"Tonari no Kaibutsu-kun",MANGA,"- /52.00",https://zonatmo.nakamasweb.com/library/manga/8811/tonarinokaibutsukun
29,"The Breaker",MANHWA,"- /72.00",https://zonatmo.nakamasweb.com/library/manhwa/8972/The-Breaker
30,"Doubt",MANGA,"- /20.00",https://zonatmo.nakamasweb.com/library/manga/10488/doubt
31,"Me-Teru's Feelings",MANGA,"- /28.00",https://zonatmo.nakamasweb.com/library/manga/9012/meteru-no-kimochi
